Epoch: 1, Loss: 0.45189480884800487
Epoch: 2, Loss: 0.2786357944839386
Epoch: 3, Loss: 0.23364946146372279
Epoch: 4, Loss: 0.17566725391531268
Epoch: 5, Loss: 0.12742122335378434
Epoch: 6, Loss: 0.10266825326839042
Epoch: 7, Loss: 0.08875513742128835
Epoch: 8, Loss: 0.07945046860187856
Epoch: 9, Loss: 0.07319793577429336
Epoch: 10, Loss: 0.06871386281766399
Epoch: 11, Loss: 0.06476021864420288
Epoch: 12, Loss: 0.0617640751428913
Epoch: 13, Loss: 0.0591674103432781
Epoch: 14, Loss: 0.05657656926775603
Epoch: 15, Loss: 0.05406291482446843
Epoch: 16, Loss: 0.051999617731293565
Epoch: 17, Loss: 0.04991295227165479
Epoch: 18, Loss: 0.04793382003317754
Epoch: 19, Loss: 0.04579444307687501
Epoch: 20, Loss: 0.043848875592824674
Epoch: 21, Loss: 0.0421964401105389
Epoch: 22, Loss: 0.04032368472407218
Epoch: 23, Loss: 0.03857736789188965
Epoch: 24, Loss: 0.03683845617224122
Epoch: 25, Loss: 0.035314325972567305
Epoch: 26, Loss: 0.033974322955377584
Epoch: 27, Loss: 0.03282176384368838
Epoch: 28, Loss: 0.03142219158824875
Epoch: 29, Loss: 0.030284297504778165
Epoch: 30, Loss: 0.029745296755428745
Epoch: 31, Loss: 0.028809268350185612
Epoch: 32, Loss: 0.027943031526180162
Epoch: 33, Loss: 0.026989570483999133
Epoch: 34, Loss: 0.026495112607789698
Epoch: 35, Loss: 0.02595607224401775
